Column1,Column2,Column3,Column4,Column5,Column6
囲む,囲[かこ]む,"to surround; to encircle; to enclose; to fence; to wall in<br>to besiege; to lay siege to<br>to play (go, shogi, etc.)<br>囲む 【かごむ】",,,scraped
世知辛い,世[せ]知[ち]辛[がら]い,hard (life); tough (world),,,scraped
衣,衣[ころも],"clothes; garment<br>gown; robe<br>coating (e.g. glaze, batter, icing)",,,scraped
不躾,不躾[ぶしつけ],ill-bred; impolite; rude; impudent; insolent; blunt,,,scraped
年甲斐,年甲斐[としがい],one's age,,,scraped
燥ぐ,燥[はしゃ]ぐ,to make merry; to frolic; to be in high spirits,,,scraped
贔屓,﻿贔屓[ひいき],favour; favor; patronage; favouritism; favoritism; partiality<br>favourite; favorite<br>patron; supporter; backer<br>Bixi (tortoise)<br>贔負 【ひいき】,,,scraped
激しい,激[はげ]しい,violent; furious; tempestuous<br>extreme; intense; fierce; strong<br>fervent; vehement<br>incessant; relentless<br>precipitous; steep,,,scraped
鞦韆,鞦韆[ぶらんこ],swing; trapeze<br>Swing (seat)<br>ブランコ,,,scraped
加護,加護[かご],divine protection,,,scraped
修行僧,修行僧[しゅぎょうそう],ascetic monk; trainee monk,,,scraped
皇帝,皇帝[こうてい],emperor<br>Emperor<br>皇帝 【おうだい】,,,scraped
血相,血相[けっそう],expression; looks,,,scraped
季節,季節[きせつ],season; time of year<br>Season,,,scraped
真鍮,真鍮[しんちゅう],brass,,,scraped
何て,何[なん]て,how ...!; what ...!<br>what?; what's that?,,,scraped
野宿,野[の]宿[じゅく],sleeping outdoors; sleeping out in the open air; camping,,,scraped
鋼鉄,鋼鉄[こうてつ],steel,,,scraped
隊商,隊商[たいしょう],caravan (of merchants),,,scraped
路銀,路銀[ろぎん],traveling expenses; travelling expenses,,,scraped
届く,届[とど]く,to reach; to touch; to get to; to carry (of sound)<br>to be delivered; to arrive<br>to be attentive; to be scrupulous; to be thorough<br>to be realized (of a desire); to be fulfilled; to get through (to someone); to be appreciated; to make an impression,,,scraped
炭,炭[すみ],charcoal<br>charred remains,,,scraped
同席,同席[どうせき],"being present (at the same meeting, occasion, etc.); attendance (with); sitting with; sitting next to<br>same (seating) precedence; same rank",,,scraped
沿岸,沿岸[えんがん],coast; shore; littoral,,,scraped
足し,足[た]し,supplement; top up; complement; making up (a deficiency),,,scraped
預かる,預[あず]かる,to look after; to take care of; to keep; to hold on to; to keep in custody<br>to be put in charge of; to be given responsibility for; to be entrusted with<br>to withhold (an announcement); to reserve (judgment); to leave undecided<br>to take upon oneself (to do); to settle (a matter) oneself,,,scraped
兼,兼[けん],cum (e.g. bedroom-cum-study); and (concurrently; e.g. chauffeur and secretary); in addition to; at the same time,,,scraped
頑固,頑固[がんこ],stubborn; obstinate; pigheaded,,,scraped
配属,配属[はいぞく],"assignment (of a person to somewhere); attachment (of a person to another unit, organization, etc.)",,,scraped
部隊,部隊[ぶたい],force; unit; corps; squad; troops; party<br>Troop,,,scraped
土地,土地[とち],plot of land; lot; soil<br>locality; region; place,,,scraped
布,[ぬの],cloth<br>bujian (spade-shaped bronze coin of ancient China),,,scraped
相性,相性[あいしょう],affinity; compatibility; chemistry (between people),,,scraped
絹糸,絹糸[けんし],silk thread,,,scraped
揃える,揃[そろ]える,to collect; to gather; to get together; to complete (a collection)<br>to arrange; to put in order; to prepare; to get ready<br>to make uniform; to make even; to match,,,scraped
用意,用意[ようい],preparation; arrangements; provision; getting ready; laying out (e.g. a meal),,,scraped
楽観,楽観[らっかん],optimism; taking an optimistic view,,,scraped
不穏,不[ふ]穏[おん],disquieting; threatening; turbulent; restless; unsettled; disturbing,,,scraped
万全,万[ばん]全[ぜん],perfection; flawlessness,,,scraped
格好,格好[かっこう],shape; form; figure; posture; pose<br>appearance<br>state; situation<br>suitable; fit; reasonable<br>about,,,scraped
見納め,見納[みおさ]め,last look; farewell look,,,scraped
加減,加減[かげん],degree; extent; amount; balance; state; condition<br>(health) condition; state of health<br>adjustment; moderation; regulation<br>addition and subtraction<br>slight sign of ...; slight state of ...<br>just right for ...,,,scraped
旦那,旦那[だんな],"master (of a house, shop, etc.)<br>husband<br>sir; boss; master; governor<br>patron of a mistress, geisha, bar or nightclub hostess; sugar daddy<br>alms; almsgiving; almsgiver<br>檀那 【だんな】",,,scraped
正装,正[せい]装[そう],full dress; formal dress; uniform<br>Formal wear,,,scraped
納得,納得[なっとく],consent; agreement; acceptance<br>understanding; satisfaction (e.g. with an explanation); being convinced,,,scraped
無駄足,無駄足[むだあし],visit for no reason; go on fool's errand,,,scraped
踏む,踏[ふ]む,"to step on; to tread on; to trample on<br>to set foot on (e.g. foreign soil); to stand on; to visit<br>to experience; to undergo<br>to follow (rules, principles, etc.); to go through (e.g. formalities); to complete<br>to estimate; to guess; to judge; to value; to appraise<br>to rhyme<br>to succeed to (e.g. the throne)",,,scraped
混ざる,混[ま]ざる,to be mixed; to be blended with; to associate with; to mingle with; to join,,,scraped
劣化,劣化[れっか],"deterioration (in quality, performance, etc.); degradation; worsening<br>(visible) aging; becoming unattractive (due to aging)<br>Deterioration",,,scraped
被写体,被写体[ひしゃたい],(photographic) subject,,,scraped
数十,数十[すうじゅう],dozens; scores of; decades,,,scraped
画像,画像[がぞう],image; picture; portrait<br>Image,,,scraped
画,画[かく],"stroke (of a kanji, etc.)<br>劃 【かく】",,,scraped
固定,固[こ]定[てい],"fixing (in place); being fixed (in place); securing; anchoring; fastening down<br>fixing (e.g. salary, capital); keeping the same<br>fixation (histology)<br>Fixation",,,scraped
外す,外[はず]す,"to remove; to take off; to detach; to unfasten; to undo<br>to drop (e.g. from a team); to remove (from a position); to exclude; to expel<br>to leave (e.g. one's seat); to go away from; to step out; to slip away<br>to dodge (a question, blow, etc.); to evade; to sidestep; to avoid (e.g. peak season)<br>to miss (a target, chance, punch, etc.)",,,scraped
暗所,暗[あん]所[しょ],dark place; unlit spot; darkness,,,scraped
作業,作[さ]業[ぎょう],work; operation; manufacturing; fatigue duty<br>Occupation,,,scraped
取り付ける,取[と]り付[つ]ける,,,,scraped
露光,露[ろ]光[こう],(photographic) exposure,,,scraped
原板,原板[げんぱん],negative (of a picture)<br>原板 【げんばん】,,,scraped
均一,均[きん]一[いつ],uniformity; equality<br>均一 【きんいち】,,,scraped
成り立つ,成[な]り 立[た]つ,"to consist of; to be made up of; to be composed of<br>to be concluded (e.g. of an agreement); to hold true (e.g. of a theory); to be valid<br>to be viable (of a business, lifestyle, etc.); to carry on; to keep going",,,scraped
都度,都度[つど],each (every) time; whenever,,,scraped
感光,感光[かんこう],exposure; sensitization; sensitisation,,,scraped
磨き粉,磨[みがこ]き粉[みがこ],polishing powder,,,scraped
覆う,覆[おお]う,to cover; to hide; to conceal; to wrap; to disguise,,,scraped
通じる,通[つう]じる,"to be open (to traffic); to lead to; to communicate (with)<br>to flow (liquid, current); to pass; to get through to<br>to be understood; to be comprehended<br>to be honored; to be good<br>to be well versed in; to be well-informed<br>to communicate clandestinely; to keep in touch (e.g. with the enemy)<br>to form a liaison; to be intimate<br>to spread widely; to disseminate",,,scraped
垂らす,垂[た]らす,to dribble; to spill<br>to suspend; to hang down; to slouch; to dangle,,,scraped
攪拌,攪拌[かくはん],agitation; stirring; whipping; beating,,,scraped
ヨウ化カリウム,ヨウ 化[か]カリウム,potassium iodide,,,scraped
溶液,溶液[ようえき],solution (liquid)<br>Solution,,,scraped
定着液,定着液[ていちゃくえき],(photographic) fixing solution,,,scraped
処方,処方[しょほう],prescription; formulation; formula; recipe,,,scraped
調合,調合[ちょうごう],mixing; compounding; dispensing (e.g. prescription),,,scraped
現像液,現像液[げんぞうえき],developing solution<br>Photographic developer,,,scraped
混ぜる,混[ま]ぜる,to mix; to stir; to blend,,,scraped
爆発,爆発[ばくはつ],"explosion; detonation; eruption<br>eruption (of discontent, etc.); outburst; outpouring<br>Explosion",,,scraped
下働き,下働[したばたら]き,subordinate work; assistant<br>domestic duties; servant; maid; houseboy,,,scraped
毒薬,毒薬[どくやく],poison,,,scraped
硝酸銀,硝[しょう]酸[さん]銀[ぎん],silver nitrate; AgNO3,,,scraped
釉薬,釉薬[うわぐすり],glaze; overglaze; enamel<br>Ceramic glaze,,,scraped
失明,失[しつ]明[めい],loss of eyesight; loss of sight; going blind; blindness,,,scraped
工房,工房[こうぼう],workshop; studio; atelier,,,scraped
